Plot name,X,Y,row,column,Distance,Point Cover,Edge Influence
NewSite056,612093.250000000000,5277941.000000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite057,612091.062500000000,5277944.500000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite058,612086.875000000000,5277950.000000000000,331.000000000000,159.000000000000,15.000000000000,55.000000000000,-50.867401123047
NewSite059,610637.750000000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite060,610639.312500000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite061,610641.437500000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite062,610645.500000000000,5280411.000000000000,249.000000000000,111.000000000000,27.426406860352,87.000000000000,-41.933151245117
NewSite063,610653.125000000000,5280411.000000000000,249.000000000000,111.000000000000,27.426406860352,87.000000000000,-41.933151245117
NewSite064,610670.875000000000,5280410.500000000000,249.000000000000,111.000000000000,27.426406860352,87.000000000000,-41.933151245117
NewSite065,610701.437500000000,5280409.000000000000,249.000000000000,112.000000000000,52.082038879395,85.000000000000,-41.013420104980
NewSite066,610764.812500000000,5280406.500000000000,249.000000000000,115.000000000000,137.970581054688,86.000000000000,-36.115852355957
NewSite067,610890.437500000000,5280401.000000000000,249.000000000000,119.000000000000,256.661560058594,90.000000000000,-27.552310943604
NewSite068,610636.062500000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite069,610634.250000000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite070,610630.875000000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite071,610623.562500000000,5280411.000000000000,249.000000000000,110.000000000000,15.000000000000,63.000000000000,-42.411582946777
NewSite072,610608.000000000000,5280412.000000000000,249.000000000000,109.000000000000,-15.000000000000,0.000000000000,42.429843902588
NewSite073,610575.062500000000,5280412.500000000000,248.000000000000,108.000000000000,-45.000000000000,0.000000000000,41.877410888672
NewSite074,610511.937500000000,5280411.500000000000,249.000000000000,106.000000000000,-105.000000000000,0.000000000000,39.499320983887
NewSite075,610391.437500000000,5280411.000000000000,249.000000000000,102.000000000000,-45.000000000000,0.000000000000,29.823404312134
NewSite076,613506.562500000000,5278056.500000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite077,613508.562500000000,5278056.000000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite078,613510.625000000000,5278055.500000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite079,613514.687500000000,5278054.500000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite080,613504.625000000000,5278057.000000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite081,613502.625000000000,5278058.000000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite082,613498.750000000000,5278059.000000000000,327.000000000000,206.000000000000,-15.000000000000,0.000000000000,12.464394569397
NewSite090,618896.687500000000,5280796.000000000000,236.000000000000,386.000000000000,-135.000000000000,0.000000000000,24.758031845093
NewSite091,618899.062500000000,5280796.500000000000,236.000000000000,386.000000000000,-135.000000000000,0.000000000000,24.758031845093
NewSite092,618901.750000000000,5280796.500000000000,236.000000000000,386.000000000000,-135.000000000000,0.000000000000,24.758031845093
NewSite093,618905.562500000000,5280797.000000000000,236.000000000000,386.000000000000,-135.000000000000,0.000000000000,24.758031845093
NewSite094,618914.750000000000,5280797.500000000000,236.000000000000,386.000000000000,-135.000000000000,0.000000000000,24.758031845093
NewSite095,618930.937500000000,5280800.500000000000,236.000000000000,387.000000000000,-119.164077758789,0.000000000000,25.615169525146
NewSite096,618959.812500000000,5280809.000000000000,235.000000000000,388.000000000000,-135.000000000000,0.000000000000,24.759510040283
NewSite097,619018.437500000000,5280822.000000000000,235.000000000000,390.000000000000,-93.166534423828,0.000000000000,25.731403350830
